City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
209,neyshabur,0,IR,1531427649,38,36.21,58.79,63.36,5.12
210,trinidad,75,UY,1531425600,77,-33.52,-56.9,59.0,9.17
211,rundu,0,NA,1531427650,49,-17.91,19.77,54.99,7.74
212,thalgau,40,AT,1531425000,72,47.84,13.25,64.4,2.24
213,palora,80,EC,1531427650,93,-1.7,-77.97,62.82,2.48
214,nishihara,75,JP,1531425600,83,35.74,139.53,78.8,4.38
215,trelew,0,AR,1531427497,39,-43.25,-65.31,58.32,20.11
216,mugur-aksy,20,RU,1531427650,77,50.38,90.44,44.64,1.99
217,chilca,40,PE,1531423800,17,-13.22,-72.34,62.6,11.41
218,hobyo,0,SO,1531427651,62,5.35,48.53,80.1,25.86
219,ludvika,12,SE,1531425000,52,60.15,15.18,69.8,4.7
220,port hardy,20,CA,1531425600,63,50.7,-127.42,64.4,19.46
221,guerrero negro,8,MX,1531427651,50,27.97,-114.04,82.62,9.37
222,elizabeth city,75,US,1531426500,69,36.3,-76.22,84.2,10.65
223,bonthe,92,SL,1531427652,100,7.53,-12.5,72.81,4.05
224,ossora,48,RU,1531427652,95,59.24,163.07,50.58,1.1
225,rongcheng,92,CN,1531427652,92,37.16,122.42,76.05,12.06
226,maceio,0,BR,1531425600,73,-9.67,-35.74,77.0,10.29
227,port shepstone,0,ZA,1531427653,82,-30.74,30.45,66.87,10.94
228,campoverde,0,IT,1531425000,73,41.54,12.73,77.0,3.36
229,mandurah,75,AU,1531425360,93,-32.55,115.7,57.2,16.11
230,vega de alatorre,48,MX,1531427653,84,20.03,-96.65,79.2,4.5
231,sevierville,40,US,1531425180,49,35.87,-83.56,91.4,3.36
232,taybad,0,IR,1531427654,22,34.74,60.78,79.02,14.63
233,airai,8,TL,1531427654,87,-8.93,125.41,60.3,2.04
234,kattivakkam,75,IN,1531425600,78,13.22,80.32,82.4,3.36
235,warren,40,US,1531426740,35,42.48,-83.03,84.2,4.7
236,vestmannaeyjar,92,IS,1531427654,100,63.44,-20.27,50.22,5.39
237,touros,80,BR,1531427655,97,-5.2,-35.46,75.51,14.29
238,bowen,0,AU,1531422000,100,-20.01,148.25,51.8,4.7
239,jashpurnagar,92,IN,1531427655,100,22.88,84.14,73.8,3.6
240,rudraprayag,68,IN,1531427655,95,30.29,78.98,63.9,1.77
241,killybegs,20,IE,1531427656,93,54.63,-8.45,57.87,6.62
242,alice springs,0,AU,1531425600,53,-23.7,133.88,26.6,5.82
243,upernavik,64,GL,1531427656,100,72.79,-56.15,36.72,7.92
244,katsuura,8,JP,1531427656,90,33.93,134.5,75.6,2.48
245,corinto,0,BR,1531427657,62,-18.36,-44.46,71.19,2.71
246,torbay,90,CA,1531425600,100,47.66,-52.73,69.8,26.4
247,ichinoseki,92,JP,1531427657,100,38.93,141.13,69.84,2.82
248,evensk,76,RU,1531427657,94,61.92,159.24,52.29,1.48
249,narsaq,75,GL,1531425000,86,60.91,-46.05,41.0,2.24
250,shihezi,76,CN,1531427658,94,44.3,86.03,66.6,3.38
251,ban nahin,92,LA,1531427658,100,18.24,104.21,72.54,2.21
252,dutse,76,NG,1531427658,76,11.76,9.34,79.83,3.6
253,sinnamary,48,GF,1531427659,93,5.38,-52.96,82.53,11.54
254,lasem,20,ID,1531422000,83,-6.99,112.52,73.4,4.7
255,grand gaube,40,MU,1531425600,60,-20.01,57.66,71.6,9.17
256,maniitsoq,24,GL,1531427659,89,65.42,-52.9,41.94,3.0
257,oskarshamn,0,SE,1531426800,88,57.26,16.44,64.4,4.7
258,leninskoye,0,RU,1531425600,93,54.82,82.85,64.4,4.47
259,male,0,UA,1531427660,86,50.74,33.7,65.25,2.82
260,hays,20,US,1531425360,32,38.88,-99.33,98.6,20.8
261,cockburn town,0,TC,1531427581,98,21.46,-71.14,82.44,18.32
262,ranfurly,24,CA,1531427660,50,53.41,-111.68,76.05,10.04
263,lagoa,0,PT,1531425600,69,37.14,-8.45,73.4,6.93
264,nadym,0,RU,1531427661,49,65.53,72.51,55.17,11.43
265,camacha,40,PT,1531425600,73,33.08,-16.33,69.8,11.41
266,beloha,0,MG,1531427662,72,-25.17,45.06,65.25,16.58
267,mount gambier,0,AU,1531427662,84,-37.83,140.78,29.34,2.37
268,salinopolis,0,BR,1531427662,93,-0.61,-47.36,82.08,15.12
269,goianesia,56,BR,1531427662,45,-15.32,-49.12,78.03,2.89
270,dejen,92,ET,1531427663,97,10.16,38.15,56.97,1.77
271,cayenne,80,GF,1531425600,66,4.94,-52.33,86.0,10.29
272,bambous virieux,40,MU,1531425600,60,-20.34,57.76,71.6,9.17
273,nouadhibou,0,MR,1531425600,77,20.93,-17.03,69.8,23.04
274,bonavista,100,CA,1531427663,94,48.65,-53.11,50.76,20.71
275,lyuban,64,BY,1531427664,89,52.8,28.0,66.15,3.38
276,togur,0,RU,1531427664,64,58.36,82.83,64.62,6.62
